,B6N
0,128.631286
1,0.0
2,0.0
3,0.0
4,610.0960375
5,3658.2231500000003
6,0.0
7,0.0
8,0.0
9,7522.0716
10,6622.0
11,6652.3666
12,2805.6
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,11871.052459999999
20,0.0
21,15.5866906
22,3677.34135
23,36.167404000000005
24,0.0
25,0.0
26,10698.849
27,0.0
28,0.0
29,0.0
30,0.0
31,11558.0525
32,0.0
33,0.0
34,4701.2924
35,21958.89625
36,0.0
37,0.0
38,0.0
39,11319.874624999999
40,0.0
41,11.586742999999998
42,182.8490075
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,6.05975665
51,0.0
52,148.05124308
53,32193.54
54,6640.852106999999
55,15319.974999999999
56,393.2063
57,0.0
58,0.0
59,0.0
60,169.34339350000002
61,0.0
62,2519.0
63,0.0
64,0.0
65,5148.2065
66,0.0
67,30317.554099999998
68,1.8687823000000001
69,0.0
70,134.3509825
71,2935.3744
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,1551.076325
78,7072.01205
79,0.0
80,0.0
81,19376.9485
82,2159.838475
83,0.0
84,12339.3896
85,0.0
86,0.0
87,1411.1406000000002
88,14108.270799999998
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,308.893968
95,0.0
96,0.0
97,0.0
98,96.973185
99,0.0
100,0.0
101,45.274649499999995
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,329.13568000000004
109,0.0
110,0.0
111,0.0
112,6624.0
113,0.0
114,0.0
115,0.0
116,3313.0
117,2374.8492
118,3313.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,717.95414
126,0.0
127,5736.35035
128,57.75929599999999
129,0.0
130,918.27902
131,447.89532399999996
132,0.0
133,0.0
134,0.0
135,0.0
136,117759.83249999999
137,237.52276250000003
138,0.0
139,0.0
140,6624.0
141,0.0
142,1039.0093000000002
143,2996.15076
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,6131.913566666667
150,0.0
151,13834.356000000002
152,2061.262164
153,0.0
154,0.0
155,3348.9474
156,12708.3366
157,2707.87243
158,0.0
159,8379.866739000001
160,9422.46311
161,3946.255575
162,72.94651
163,6686.00475
164,6017.41832
165,3313.0
166,3283.4260200000003
167,0.0
168,2015.2
169,0.0
170,1139.616904
171,2403.945006
172,0.0
173,3599.7033
174,0.0
175,0.0
176,2650.4
177,16714.08664
178,4301.80195
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,269.67408
185,0.0
186,394.1039675
187,185.23340399999998
188,577.26528
189,0.0
190,3172.703625
191,0.0
192,0.0
193,138.03410125
194,0.0
195,0.0
196,0.0
197,78.083832
198,1738.87656
199,24.09207975
200,0.0
201,0.0
202,3900.4280499999995
203,0.0
204,0.0
205,0.0
206,17.466468499999998
207,0.0
208,0.0
209,190.39316200000002
210,0.0
211,7464.39675
212,35.17545025
213,1161.2675
214,0.0
215,0.0
216,0.0
217,0.0
218,3069.9351500000002
219,2016.8
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,2046.92818
229,3313.0
230,1153.5168250000002
231,0.0
232,3313.0
233,0.0
234,1025.2949
235,1744.2618499999999
236,0.0
237,0.0
238,36484.386
239,0.0
240,0.0
241,0.0
242,0.0
243,5266.633749999999
244,951.34892
245,0.0
246,2697.8312833333334
247,240.682456
248,2650.4
249,9354.46125
250,0.0
251,0.0
252,27868.34075
253,0.0
254,0.0
255,6413.3183500000005
256,0.0
257,0.0
258,0.0
259,43.8187428
260,0.0
261,355.07706199999996
262,0.0
263,6413.4236
264,6872.8927
265,0.0
266,68.493428
267,2654.371575
268,0.0
